symbol,timeframe,source_path,row_count,start_timestamp,end_timestamp,days_covered,missing_timestamp_count,duplicate_timestamp_count,has_ohlcv,has_spread_proxy,has_cost_proxy,has_regime_label,usable_for_scalp,usable_for_swing,verdict,notes,columns,size_mb,has_derivatives,issues
ATOMUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ATOMUSDT/ATOMUSDT_1h_with_derivatives.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",1.02,True,NONE
AVAXUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/AVAXUSDT/AVAXUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.01,False,NONE
AVAXUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/AVAXUSDT/AVAXUSDT_1h_with_derivatives.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",1.05,True,NONE
AXSUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/AXSUSDT/AXSUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.87,False,NONE
BCHUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/BCHUSDT/BCHUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.14,False,NONE
BCHUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/BCHUSDT/BCHUSDT_1h_with_derivatives.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",1.14,True,NONE
BNBUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/BNBUSDT/BNBUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.11,False,NONE
BNBUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/BNBUSDT/BNBUSDT_1h_combined.parquet,30648,2023-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1276,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,interval",1.97,False,NONE
BNBUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/BNBUSDT/BNBUSDT_1h_with_derivatives.parquet,30648,2023-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1276,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.76,True,NONE
BTCUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/BTCUSDT/BTCUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.38,False,NONE
BTCUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/BTCUSDT/BTCUSDT_1h_combined.parquet,30648,2023-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1276,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,interval",2.23,False,NONE
BTCUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/BTCUSDT/BTCUSDT_1h_with_derivatives.parquet,30648,2023-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1276,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",1.17,True,NONE
COMPUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/COMPUSDT/COMPUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.97,False,NONE
CRVUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/CRVUSDT/CRVUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.82,False,NONE
DOGEUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/DOGEUSDT/DOGEUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.09,False,NONE
DOGEUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/DOGEUSDT/DOGEUSDT_1h_with_derivatives.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",1.13,True,NONE
DOTUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/DOTUSDT/DOTUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.94,False,NONE
DOTUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/DOTUSDT/DOTUSDT_1h_with_derivatives.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.98,True,NONE
EOSUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/EOSUSDT/EOSUSDT_1h.parquet,29674,2022-01-01 00:00:00+00:00,2025-05-21 09:00:00+00:00,1236,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.52,False,NONE
ETCUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ETCUSDT/ETCUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.1,False,NONE
ETHUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ETHUSDT/ETHUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.32,False,NONE
ETHUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ETHUSDT/ETHUSDT_1h_combined.parquet,30648,2023-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1276,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,interval",2.19,False,NONE
ETHUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ETHUSDT/ETHUSDT_1h_with_derivatives.parquet,30648,2023-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1276,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.96,True,NONE
FILUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/FILUSDT/FILUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.92,False,NONE
FILUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/FILUSDT/FILUSDT_1h_with_derivatives.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.92,True,NONE
FTMUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/FTMUSDT/FTMUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.71,False,NONE
GALAUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/GALAUSDT/GALAUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.0,False,NONE
GRTUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/GRTUSDT/GRTUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.14,False,NONE
HBARUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/HBARUSDT/HBARUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.1,False,NONE
ICPUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/ICPUSDT/ICPUSDT_1h.parquet,38776,2022-01-01 01:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.81,False,NONE
IMXUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/IMXUSDT/IMXUSDT_1h.parquet,38300,2022-02-11 03:00:00+00:00,2026-06-30 23:00:00+00:00,1600,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.91,False,NONE
INJUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/INJUSDT/INJUSDT_1h.parquet,33934,2022-08-17 02:00:00+00:00,2026-06-30 23:00:00+00:00,1413,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.94,False,NONE
KAVAUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/KAVAUSDT/KAVAUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.04,False,NONE
KSMUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/KSMUSDT/KSMUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.95,False,NONE
LDOUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/LDOUSDT/LDOUSDT_1h.parquet,33060,2022-09-22 12:00:00+00:00,2026-06-30 23:00:00+00:00,1377,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.87,False,NONE
LINKUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/LINKUSDT/LINKUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.04,False,NONE
LINKUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/LINKUSDT/LINKUSDT_1h_with_derivatives.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",1.07,True,NONE
LTCUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/LTCUSDT/LTCUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.96,False,NONE
LTCUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/LTCUSDT/LTCUSDT_1h_with_derivatives.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.96,True,NONE
MANAUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/MANAUSDT/MANAUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.91,False,NONE
MKRUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/MKRUSDT/MKRUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.8,False,NONE
NEARUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/NEARUSDT/NEARUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.85,False,NONE
OPUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/OPUSDT/OPUSDT_1h.parquet,35770,2022-06-01 14:00:00+00:00,2026-06-30 23:00:00+00:00,1490,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.01,False,NONE
OPUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/OPUSDT/OPUSDT_1h_with_derivatives.parquet,35770,2022-06-01 14:00:00+00:00,2026-06-30 23:00:00+00:00,1490,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",1.02,True,NONE
QNTUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/QNTUSDT/QNTUSDT_1h.parquet,32398,2022-10-20 02:00:00+00:00,2026-06-30 23:00:00+00:00,1349,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.58,False,NONE
RUNEUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/RUNEUSDT/RUNEUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.85,False,NONE
SANDUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/SANDUSDT/SANDUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.11,False,NONE
SNXUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/SNXUSDT/SNXUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.86,False,NONE
SOLUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/SOLUSDT/SOLUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.07,False,NONE
SOLUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/SOLUSDT/SOLUSDT_1h_combined.parquet,30648,2023-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1276,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,interval",2.0,False,NONE
SOLUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/SOLUSDT/SOLUSDT_1h_with_derivatives.parquet,30648,2023-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1276,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.82,True,NONE
STXUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/STXUSDT/STXUSDT_1h.parquet,29410,2023-02-21 14:00:00+00:00,2026-06-30 23:00:00+00:00,1225,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.69,False,NONE
SUIUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/SUIUSDT/SUIUSDT_1h.parquet,27704,2023-05-03 16:00:00+00:00,2026-06-30 23:00:00+00:00,1154,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.75,False,NONE
SUIUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/SUIUSDT/SUIUSDT_1h_with_derivatives.parquet,27704,2023-05-03 16:00:00+00:00,2026-06-30 23:00:00+00:00,1154,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.75,True,NONE
THETAUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/THETAUSDT/THETAUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.03,False,NONE
TIAUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/TIAUSDT/TIAUSDT_1h.parquet,23358,2023-10-31 18:00:00+00:00,2026-06-30 23:00:00+00:00,973,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.67,False,NONE
TRXUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/TRXUSDT/TRXUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.11,False,NONE
UNIUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/UNIUSDT/UNIUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.84,False,NONE
UNIUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/UNIUSDT/UNIUSDT_1h_with_derivatives.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=True,"timestamp,open,high,low,close,volume,funding_rate,open_interest,premium_index,symbol",0.85,True,NONE
VETUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/VETUSDT/VETUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.21,False,NONE
WIFUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/WIFUSDT/WIFUSDT_1h.parquet,21466,2024-01-18 14:00:00+00:00,2026-06-30 23:00:00+00:00,894,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",0.6,False,NONE
XLMUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/XLMUSDT/XLMUSDT_1h.parquet,39287,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.13,False,NONE
XMRUSDT,1h,/teamspace/studios/this_studio/v7-engine/data/raw/XMRUSDT/XMRUSDT_1h.parquet,39408,2022-01-01 00:00:00+00:00,2026-06-30 23:00:00+00:00,1641,N/A,N/A,True,NO,NO,NO,YES,YES,COVERAGE_PASS,source=data/raw;derivatives=False,"timestamp,open,high,low,close,volume,symbol",1.04,False,NONE
