symbol,cluster_primary,cluster_secondary,priority,available_in_current_cache,available_timeframes,start_date,end_date,row_count_total,liquidity_tier,expected_cost_tier,has_derivatives,notes
BNBUSDT,EXCHANGE_INFRA,,P0_CORE,YES,1h,2022-01-01,2026-06-30,201408,HIGH,LOW,True,derivatives=True;cluster=EXCHANGE_INFRA
BTCUSDT,MAJORS,,P0_CORE,YES,1h,2022-01-01,2026-06-30,201408,ULTRA_HIGH,LOW,True,derivatives=True;cluster=MAJORS
COMPUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39408,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
CRVUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39408,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
DOGEUSDT,MEME_RETAIL,VOLATILE_ALT,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,78816,HIGH,MEDIUM,True,derivatives=True;cluster=MEME_RETAIL
DOTUSDT,HIGH_BETA_L1,,P0_CORE,YES,1h,2022-01-01,2026-06-30,78816,HIGH,MEDIUM,True,derivatives=True;cluster=HIGH_BETA_L1
EOSUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2025-05-21,29674,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
ETCUSDT,OLD_ALT_MID,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,39408,HIGH,LOW,False,derivatives=False;cluster=OLD_ALT_MID
ETHUSDT,MAJORS,,P0_CORE,YES,1h,2022-01-01,2026-06-30,201408,ULTRA_HIGH,LOW,True,derivatives=True;cluster=MAJORS
FETUSDT,AI_DATA,,P2_OPTIONAL,UNAVAILABLE_IN_CURRENT_DATA,,,,0,MEDIUM,MEDIUM,False,UNAVAILABLE_IN_CURRENT_DATA;cluster=AI_DATA
FILUSDT,DERIVATIVES_RICH,,P0_CORE,YES,1h,2022-01-01,2026-06-30,78574,HIGH,LOW,True,derivatives=True;cluster=DERIVATIVES_RICH
FLOKIUSDT,MEME_RETAIL,,P1_EXPANSION,UNAVAILABLE_IN_CURRENT_DATA,,,,0,HIGH,MEDIUM,False,UNAVAILABLE_IN_CURRENT_DATA;cluster=MEME_RETAIL
FTMUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39287,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
GALAUSDT,GAMING_METAVERSE,,P2_OPTIONAL,YES,1h,2022-01-01,2026-06-30,39408,LOW,HIGH,False,derivatives=False;cluster=GAMING_METAVERSE
GRTUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-01-01,2026-06-30,39287,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
HBARUSDT,INFRA_MID,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,39287,MEDIUM,MEDIUM,False,derivatives=False;cluster=INFRA_MID
ICPUSDT,INFRA_MID,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,38776,MEDIUM,MEDIUM,False,derivatives=False;cluster=INFRA_MID
IMXUSDT,LAYER2_SCALING,,P1_EXPANSION,YES,1h,2022-02-11,2026-06-30,38300,MEDIUM,MEDIUM,False,derivatives=False;cluster=LAYER2_SCALING
INJUSDT,UNCLASSIFIED,,P3_LATER,YES,1h,2022-08-17,2026-06-30,33934,LOW,HIGH,False,UNCLASSIFIED;derivatives=False
KAVAUSDT,INFRA_MID,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,39408,MEDIUM,MEDIUM,False,derivatives=False;cluster=INFRA_MID
KSMUSDT,INFRA_MID,,P1_EXPANSION,YES,1h,2022-01-01,2026-06-30,39287,MEDIUM,MEDIUM,False,derivatives=False;cluster=INFRA_MID
LDOUSDT,DEFI,,P1_EXPANSION,YES,1h,2022-09-22,2026-06-30,33060,MEDIUM,MEDIUM,False,derivatives=False;cluster=DEFI
LINKUSDT,EXCHANGE_INFRA,,P0_CORE,YES,1h,2022-01-01,2026-06-30,78816,HIGH,LOW,True,derivatives=True;cluster=EXCHANGE_INFRA
